pb_file,node_name,op_type,dtype,output_shapes,device,input_count,inputs,attr_keys
meta_graph_2_frozen.pb,JgctVykT1G,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,pYns6293RE,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,6pd8GqyoBg,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,ZK5CXmQEaj,Const,DT_INT32,,/device:CPU:0,0,,dtype|value
meta_graph_2_frozen.pb,1Z3j2apBHJ,ConcatV2,DT_FLOAT,,/device:CPU:0,5,XOdHeQr10V|JgctVykT1G|pYns6293RE|6pd8GqyoBg|ZK5CXmQEaj,N|T|Tidx
meta_graph_2_frozen.pb,S6wvj35a7i,Const,DT_INT32,,,0,,dtype|value
meta_graph_2_frozen.pb,JGY3ceNDQd,Reshape,DT_FLOAT,,,2,1Z3j2apBHJ|S6wvj35a7i,T|Tshape
meta_graph_2_frozen.pb,NM1fCVyqv4,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,zSkqWy8C9d,Const,DT_INT32,,,0,,dtype|value
meta_graph_2_frozen.pb,nyD0Jl6ABY,Reshape,DT_FLOAT,,,2,NM1fCVyqv4|zSkqWy8C9d,T|Tshape
meta_graph_2_frozen.pb,G3y8NdUlQD,MatMul,DT_FLOAT,,,2,RctBKb2vLM|JGY3ceNDQd,T|grad_a|grad_b|transpose_a|transpose_b
meta_graph_2_frozen.pb,FT0VE2hroB,BiasAdd,DT_FLOAT,,,2,G3y8NdUlQD|nyD0Jl6ABY,T|data_format
meta_graph_2_frozen.pb,Y51AoeFi4I,Const,DT_INT32,,,0,,dtype|value
meta_graph_2_frozen.pb,Sb5n4a2GzL,ConcatV2,DT_FLOAT,,,4,4FuhXE1tCD|FT0VE2hroB|L41SalwCgY|Y51AoeFi4I,N|T|Tidx
meta_graph_2_frozen.pb,DFdcozfg0H,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,ZizRjbFdEh,Const,DT_INT32,,,0,,dtype|value
meta_graph_2_frozen.pb,movH4URfBx,Reshape,DT_FLOAT,,,2,DFdcozfg0H|ZizRjbFdEh,T|Tshape
meta_graph_2_frozen.pb,qJp0SrZDmn,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_2_frozen.pb,yaPpSbjN9d,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,rEV5kGTIKW,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,vmkLIi8Gst,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,OA0BaJPMd2,Const,DT_FLOAT,,,0,,dtype|value
meta_graph_2_frozen.pb,bsoR8J4PwH,Const,DT_FLOAT,,,0,,dtype|value
