pb_file,node_name,op_type,dtype,output_shapes,device,input_count,inputs,attr_keys
meta_graph_1_frozen.pb,Tc8BWFgnXo,Slice,DT_FLOAT,,,3,XPcHGKbop2|XNBkH3iEju|BIVmt1bcoM,Index|T
meta_graph_1_frozen.pb,StHFqj5edV,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,TaHjpO2Auh,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,jbKl14ZUkW,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,W4kJ53pIXU,Slice,DT_FLOAT,,,3,StHFqj5edV|TaHjpO2Auh|jbKl14ZUkW,Index|T
meta_graph_1_frozen.pb,lhbKMrO1my,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,HjmTb1MIua,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,RqLl4vpwMG,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,Sgu3qmOrvj,Slice,DT_FLOAT,,,3,lhbKMrO1my|HjmTb1MIua|RqLl4vpwMG,Index|T
meta_graph_1_frozen.pb,xGCyW9icVP,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,nRVGbJlTCH,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,AFuOlY5QG2,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,eu3wz4cD28,Slice,DT_FLOAT,,,3,xGCyW9icVP|nRVGbJlTCH|AFuOlY5QG2,Index|T
meta_graph_1_frozen.pb,mgnGNH4Mz3,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,mNoPalwiOC,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,G158A3wgTq,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,IKm0uGcyvR,Slice,DT_FLOAT,,,3,mgnGNH4Mz3|mNoPalwiOC|G158A3wgTq,Index|T
meta_graph_1_frozen.pb,zIoqYe9cRb,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,jci214fvpd,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,OlkRu3S9L0,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,YUIPfSd61D,Slice,DT_FLOAT,,,3,zIoqYe9cRb|jci214fvpd|OlkRu3S9L0,Index|T
meta_graph_1_frozen.pb,RpITWntAji,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,MecaRjwmSD,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,MjZrqcIHkt,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,mDglYtMSNb,Slice,DT_FLOAT,,,3,RpITWntAji|MecaRjwmSD|MjZrqcIHkt,Index|T
meta_graph_1_frozen.pb,ZcWERoz0h6,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,r45YFG1aMl,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,v7quGmTM1d,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,jrNzpWVXfd,Slice,DT_FLOAT,,,3,ZcWERoz0h6|r45YFG1aMl|v7quGmTM1d,Index|T
meta_graph_1_frozen.pb,6HSQqXdJzb,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,BAF0zK3CH5,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,znjZDirs9R,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,Unc5wYu6MW,Slice,DT_FLOAT,,,3,6HSQqXdJzb|BAF0zK3CH5|znjZDirs9R,Index|T
meta_graph_1_frozen.pb,ahAlEtBvzo,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,lTsGB8LobY,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,NIDhAuqCMt,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,ebwoJ1MVGY,Slice,DT_FLOAT,,,3,ahAlEtBvzo|lTsGB8LobY|NIDhAuqCMt,Index|T
meta_graph_1_frozen.pb,ry2xad1vc9,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,W9jSlT1Qfb,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,2TmpERP3GQ,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,Q47ZrPMORJ,Slice,DT_FLOAT,,,3,ry2xad1vc9|W9jSlT1Qfb|2TmpERP3GQ,Index|T
meta_graph_1_frozen.pb,JSWhLK4Agx,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,zg8e4LTIY6,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,2ajm9qIrVo,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,u6qPJEgFNa,Slice,DT_FLOAT,,,3,JSWhLK4Agx|zg8e4LTIY6|2ajm9qIrVo,Index|T
meta_graph_1_frozen.pb,3kdi0vsSZG,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,9Br14OAl5q,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,FR9xHbIysw,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,X4DZo2xmtQ,Slice,DT_FLOAT,,,3,3kdi0vsSZG|9Br14OAl5q|FR9xHbIysw,Index|T
meta_graph_1_frozen.pb,1PJsBhDaCK,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,VKToRbOi04,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,0F9rh6VqTl,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,szj9GuAlkR,Slice,DT_FLOAT,,,3,1PJsBhDaCK|VKToRbOi04|0F9rh6VqTl,Index|T
meta_graph_1_frozen.pb,NXOSdQVPs0,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,QR9gdUKzx8,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,iP8qADoXJZ,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,THUawN5mpF,Slice,DT_FLOAT,,,3,NXOSdQVPs0|QR9gdUKzx8|iP8qADoXJZ,Index|T
meta_graph_1_frozen.pb,m2YscaoDjP,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,DtWQBw9JSm,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,TzrC0YtF1G,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,BSXovJd0AZ,Slice,DT_FLOAT,,,3,m2YscaoDjP|DtWQBw9JSm|TzrC0YtF1G,Index|T
meta_graph_1_frozen.pb,pH5srbufJ1,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,8NDgbTF5Bd,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,pkwQGoHuY9,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,fzw4BevtnJ,Slice,DT_FLOAT,,,3,pH5srbufJ1|8NDgbTF5Bd|pkwQGoHuY9,Index|T
meta_graph_1_frozen.pb,zZHaVOckpw,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,bivF0pe1za,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,uIX1hfsrGK,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,ozKrFvhQwA,Slice,DT_FLOAT,,,3,zZHaVOckpw|bivF0pe1za|uIX1hfsrGK,Index|T
meta_graph_1_frozen.pb,xVErSbJ0hg,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,GAgIeMUjBp,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,2aw1QijBPY,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,zDjGT1CN4W,Slice,DT_FLOAT,,,3,xVErSbJ0hg|GAgIeMUjBp|2aw1QijBPY,Index|T
meta_graph_1_frozen.pb,l4bReWtsMB,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,vUbzlNgZha,Const,DT_INT32,,,0,,dtype|value
